edad,trabajo,estudios,estado-civil,trabajo,posicion-familiar,etnia,sexo,ganancias_inversiones,perdidas_inversiones,horas-trabajo_semana,pais-origen,salario
39, Private, HS-grad, Divorced, Exec-managerial, No-en-familia, Blanco, Hombre,0,0,80, United-States, <=50K
49, Private, HS-grad, Married-civ-spouse, Craft-repair, Marido, Blanco, Hombre,0,0,40, United-States, <=50K
23, Local-gov, Assoc-acdm, Never-married, Protective-serv, No-en-familia, Blanco, Hombre,0,0,52, United-States, <=50K
20, Private, Some-college, Never-married, Sales, Hijo-unico, Negro, Hombre,0,0,44, United-States, <=50K
45, Private, Bachelors, Divorced, Exec-managerial, Hijo-unico, Blanco, Hombre,0,1408,40, United-States, <=50K
30, Federal-gov, Some-college, Married-civ-spouse, Adm-clerical, Hijo-unico, Blanco, Hombre,0,0,40, United-States, <=50K
22, State-gov, Some-college, Married-civ-spouse, Other-service, Marido, Negro, Hombre,0,0,15, United-States, <=50K
48, Private, 11th, Never-married, Machine-op-inspct, Soltero-a, Blanco, Hombre,0,0,40, Puerto-Rico, <=50K
21, Private, Some-college, Never-married, Machine-op-inspct, Hijo-unico, Blanco, Hombre,0,0,40, United-States, <=50K
19, Private, HS-grad, Married-AF-spouse, Adm-clerical, Mujer, Blanco, Mujer,0,0,25, United-States, <=50K
31, Private, Some-college, Married-civ-spouse, Sales, Marido, Blanco, Hombre,0,0,38, ?, >50K
48, Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Prof-specialty, Marido, Blanco, Hombre,0,0,40, United-States, <=50K
31, Private, 9th, Married-civ-spouse, Machine-op-inspct, Marido, Blanco, Hombre,0,0,43, United-States, <=50K
53, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Marido, Blanco, Hombre,0,0,40, United-States, <=50K
24, Private, Bachelors, Married-civ-spouse, Tech-support, Marido, Blanco, Hombre,0,0,50, United-States, <=50K
49, Private, HS-grad, Separated, Adm-clerical, Soltero-a, Blanco, Mujer,0,0,40, United-States, <=50K
25, Private, HS-grad, Never-married, Handlers-cleaners, No-en-familia, Blanco, Hombre,0,0,35, United-States, <=50K
57, Federal-gov, Bachelors, Married-civ-spouse, Prof-specialty, Marido, Negro, Hombre,0,0,40, United-States, >50K
53, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Marido, Blanco, Hombre,0,0,38, United-States, <=50K
44, Private, Masters, Divorced, Exec-managerial, Soltero-a, Blanco, Mujer,0,0,40, United-States, <=50K
41, State-gov, Assoc-voc, Married-civ-spouse, Craft-repair, Marido, Blanco, Hombre,0,0,40, United-States, <=50K
29, Private, Assoc-voc, Never-married, Prof-specialty, No-en-familia, Blanco, Hombre,0,0,43, United-States, <=50K
25, Private, Some-college, Married-civ-spouse, Exec-managerial, Mujer, Otro, Mujer,0,0,40, United-States, <=50K
18, Private, HS-grad, Never-married, Other-service, Hijo-unico, Blanco, Mujer,0,0,30, ?, <=50K
47, Private, Prof-school, Married-civ-spouse, Prof-specialty, Mujer, Blanco, Mujer,0,1902,60, Honduras, >50K
50, Federal-gov, Bachelors, Divorced, Exec-managerial, No-en-familia, Blanco, Hombre,0,0,55, United-States, >50K
47, Self-emp-inc, HS-grad, Divorced, Exec-managerial, No-en-familia, Blanco, Hombre,0,0,60, United-States, <=50K
43, Private, Some-college, Married-civ-spouse, Tech-support, Marido, Blanco, Hombre,0,0,40, United-States, >50K
46, Private, 5th-6th, Married-civ-spouse, Machine-op-inspct, Marido, Blanco, Hombre,0,0,40, Mexico, <=50K
35, Private, Assoc-voc, Married-civ-spouse, Other-service, Marido, Blanco, Hombre,0,0,40, Puerto-Rico, <=50K
41, Private, HS-grad, Married-civ-spouse, Adm-clerical, Marido, Blanco, Hombre,0,0,48, United-States, <=50K
30, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Marido, Blanco, Hombre,5013,0,40, United-States, <=50K
30, Private, Bachelors, Married-civ-spouse, Sales, Marido, Blanco, Hombre,2407,0,40, United-States, <=50K
32, ?, 7th-8th, Married-spouse-absent, ?, No-en-familia, Blanco, Hombre,0,0,40, ?, <=50K
48, Private, HS-grad, Married-civ-spouse, Transport-moving, Marido, Blanco, Hombre,0,0,40, United-States, <=50K
42, Private, Doctorate, Married-civ-spouse, Prof-specialty, Marido, Blanco, Hombre,0,0,45, United-States, >50K
29, Private, Some-college, Divorced, Tech-support, No-en-familia, Blanco, Hombre,0,0,58, United-States, <=50K
36, Private, HS-grad, Married-civ-spouse, Craft-repair, Marido, Blanco, Hombre,0,0,40, United-States, <=50K
28, Private, Some-college, Divorced, Adm-clerical, No-en-familia, Blanco, Mujer,0,0,40, United-States, <=50K
53, Private, HS-grad, Married-civ-spouse, Adm-clerical, Mujer, Blanco, Mujer,0,0,40, United-States, >50K
49, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Marido, Blanco, Hombre,0,0,50, United-States, >50K
25, ?, Some-college, Never-married, ?, Hijo-unico, Blanco, Hombre,0,0,40, United-States, <=50K
19, Private, Some-college, Never-married, Prof-specialty, Hijo-unico, Blanco, Hombre,0,0,32, United-States, <=50K
31, Private, Bachelors, Separated, Sales, Hijo-unico, Negro, Mujer,0,0,40, United-States, <=50K
29, Self-emp-not-inc, Bachelors, Married-civ-spouse, Sales, Marido, Blanco, Hombre,0,0,70, United-States, >50K
23, Private, Some-college, Never-married, Machine-op-inspct, No-en-familia, Blanco, Hombre,0,0,40, United-States, <=50K
79, Private, Some-college, Married-civ-spouse, Prof-specialty, Otro-familiar, Blanco, Hombre,0,0,20, United-States, <=50K
27, Private, HS-grad, Never-married, Other-service, Hijo-unico, Blanco, Hombre,0,0,40, Mexico, <=50K
40, Private, Assoc-acdm, Married-civ-spouse, Adm-clerical, Marido, Blanco, Hombre,0,0,40, United-States, <=50K
67, ?, 10th, Married-civ-spouse, ?, Marido, Blanco, Hombre,0,0,2, United-States, <=50K
18, Private, 11th, Never-married, Other-service, Hijo-unico, Blanco, Mujer,0,0,22, United-States, <=50K
31, Local-gov, 7th-8th, Married-civ-spouse, Farming-fishing, Marido, Blanco, Hombre,0,0,40, United-States, <=50K
18, Private, HS-grad, Never-married, Sales, No-en-familia, Blanco, Hombre,0,0,30, United-States, <=50K
52, Private, Bachelors, Married-civ-spouse, Other-service, Marido, Blanco, Hombre,0,0,40, Cuba, <=50K
46, Private, HS-grad, Married-civ-spouse, Other-service, Mujer, Blanco, Mujer,0,0,40, United-States, <=50K
59, Private, HS-grad, Married-civ-spouse, Sales, Marido, Blanco, Hombre,0,0,48, United-States, <=50K
44, Private, HS-grad, Divorced, Craft-repair, No-en-familia, Blanco, Mujer,14344,0,40, United-States, >50K
53, Private, HS-grad, Divorced, Sales, Hijo-unico, Blanco, Mujer,0,0,35, United-States, <=50K
49, Local-gov, HS-grad, Married-civ-spouse, Protective-serv, Marido, Blanco, Hombre,0,0,40, United-States, >50K
33, Private, Masters, Married-civ-spouse, Prof-specialty, Marido, Blanco, Hombre,0,0,50, United-States, <=50K
30, Private, 9th, Never-married, Sales, No-en-familia, Blanco, Hombre,0,0,40, United-States, <=50K
43, Federal-gov, Doctorate, Never-married, Prof-specialty, No-en-familia, Blanco, Mujer,0,0,50, United-States, >50K
57, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Marido, Blanco, Hombre,0,0,40, United-States, <=50K
37, Private, Some-college, Divorced, Craft-repair, Soltero-a, Blanco, Mujer,0,0,40, United-States, <=50K
28, Private, Some-college, Divorced, Machine-op-inspct, Soltero-a, Negro, Mujer,0,0,25, United-States, <=50K
30, Private, HS-grad, Married-civ-spouse, Sales, Mujer, Asiatico-Pacifico-Isleno, Mujer,0,1573,35, ?, <=50K
34, Local-gov, Bachelors, Married-civ-spouse, Protective-serv, Marido, Blanco, Hombre,0,0,40, United-States, >50K
29, Local-gov, Some-college, Never-married, Handlers-cleaners, No-en-familia, Blanco, Hombre,0,0,50, United-States, <=50K
48, Self-emp-not-inc, Doctorate, Married-civ-spouse, Prof-specialty, Marido, Blanco, Hombre,0,1902,60, United-States, >50K
37, Private, Some-college, Married-civ-spouse, Sales, Marido, Blanco, Hombre,0,0,48, United-States, >50K
48, Private, Assoc-acdm, Divorced, Exec-managerial, Soltero-a, Blanco, Mujer,0,0,40, England, <=50K
32, Federal-gov, HS-grad, Never-married, Other-service, Hijo-unico, Negro, Hombre,0,0,40, United-States, <=50K
76, Private, Masters, Married-civ-spouse, Exec-managerial, Marido, Blanco, Hombre,0,0,40, United-States, >50K
44, Private, Bachelors, Married-civ-spouse, Exec-managerial, Marido, Blanco, Hombre,15024,0,60, United-States, >50K
47, Self-emp-not-inc, Masters, Never-married, Prof-specialty, No-en-familia, Blanco, Mujer,0,0,50, United-States, <=50K
20, Private, Some-college, Never-married, Tech-support, Hijo-unico, Blanco, Mujer,0,0,40, United-States, <=50K
29, Private, HS-grad, Never-married, Craft-repair, No-en-familia, Blanco, Hombre,0,0,40, United-States, <=50K
32, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Marido, Blanco, Hombre,7688,0,40, United-States, >50K
17, ?, 10th, Never-married, ?, Hijo-unico, Blanco, Mujer,34095,0,32, United-States, <=50K
30, Private, 11th, Never-married, Handlers-cleaners, Hijo-unico, Blanco, Hombre,0,0,40, United-States, <=50K
31, Local-gov, HS-grad, Never-married, Adm-clerical, No-en-familia, Blanco, Mujer,0,0,40, United-States, <=50K
42, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Marido, Blanco, Hombre,0,0,40, United-States, <=50K
24, Private, Bachelors, Never-married, Sales, Otro-familiar, Blanco, Hombre,0,0,40, United-States, <=50K
38, Private, Prof-school, Married-civ-spouse, Prof-specialty, Marido, Blanco, Hombre,0,0,40, United-States, >50K
56, Self-emp-not-inc, HS-grad, Married-civ-spouse, Other-service, Marido, Blanco, Hombre,0,1887,50, Canada, >50K
28, Private, Some-college, Married-civ-spouse, Sales, Mujer, Blanco, Mujer,4064,0,25, United-States, <=50K
36, Private, HS-grad, Never-married, Machine-op-inspct, Hijo-unico, Blanco, Mujer,0,0,40, United-States, <=50K
53, Private, 9th, Married-civ-spouse, Handlers-cleaners, Marido, Blanco, Hombre,0,0,50, United-States, <=50K
56, Self-emp-inc, Some-college, Married-civ-spouse, Sales, Marido, Blanco, Hombre,0,0,50, United-States, <=50K
49, Local-gov, Assoc-voc, Married-civ-spouse, Craft-repair, Marido, Negro, Hombre,0,0,40, United-States, >50K
55, Private, Some-college, Married-civ-spouse, Sales, Marido, Blanco, Hombre,0,0,56, United-States, <=50K
22, Private, HS-grad, Never-married, Craft-repair, No-en-familia, Blanco, Hombre,0,0,41, United-States, <=50K
21, Private, Some-college, Never-married, Other-service, Hijo-unico, Blanco, Mujer,0,0,40, United-States, <=50K
40, Private, Bachelors, Married-civ-spouse, Exec-managerial, Marido, Blanco, Hombre,0,0,60, United-States, <=50K
30, Private, Bachelors, Never-married, Exec-managerial, Hijo-unico, Negro, Hombre,0,0,40, Germany, <=50K
29, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Marido, Blanco, Hombre,0,0,50, United-States, >50K
19, Private, Some-college, Never-married, Other-service, Hijo-unico, Negro, Hombre,0,0,35, United-States, <=50K
47, Private, Bachelors, Married-civ-spouse, Exec-managerial, Mujer, Blanco, Mujer,0,0,40, United-States, >50K
20, Private, Some-college, Never-married, Adm-clerical, Hijo-unico, Blanco, Mujer,0,1719,28, United-States, <=50K
31, Private, Assoc-acdm, Married-civ-spouse, Adm-clerical, Marido, Blanco, Hombre,0,0,40, United-States, >50K
35, ?, HS-grad, Married-civ-spouse, ?, Marido, Blanco, Hombre,0,0,40, United-States, <=50K
39, Private, Some-college, Divorced, Craft-repair, No-en-familia, Blanco, Hombre,0,0,40, United-States, <=50K
28, Private, Assoc-acdm, Never-married, Sales, No-en-familia, Blanco, Mujer,0,0,60, United-States, <=50K
24, Private, HS-grad, Never-married, Other-service, No-en-familia, Blanco, Mujer,0,1762,40, United-States, <=50K
38, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Marido, Blanco, Hombre,4386,0,35, United-States, <=50K
37, Private, Bachelors, Married-civ-spouse, Sales, Marido, Blanco, Hombre,0,0,50, United-States, <=50K
46, Private, Assoc-acdm, Divorced, Tech-support, No-en-familia, Negro, Mujer,0,0,36, United-States, <=50K
38, Federal-gov, Masters, Married-civ-spouse, Prof-specialty, Marido, Blanco, Hombre,0,0,40, Iran, >50K
43, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Marido, Blanco, Hombre,0,0,60, United-States, <=50K
27, Private, Assoc-voc, Married-civ-spouse, Adm-clerical, Mujer, Blanco, Mujer,0,0,35, United-States, <=50K
20, Private, Some-college, Never-married, Sales, Hijo-unico, Blanco, Hombre,0,0,20, United-States, <=50K
49, Private, Some-college, Married-civ-spouse, Craft-repair, Marido, Asiatico-Pacifico-Isleno, Hombre,0,0,40, United-States, >50K
61, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Marido, Blanco, Hombre,0,0,40, United-States, <=50K
27, Private, Some-college, Never-married, Sales, Hijo-unico, Blanco, Mujer,0,0,40, United-States, <=50K
19, Private, Some-college, Never-married, Other-service, Hijo-unico, Blanco, Hombre,0,0,30, Mexico, <=50K
45, Private, Assoc-voc, Never-married, Prof-specialty, No-en-familia, Blanco, Mujer,0,1564,40, United-States, >50K
70, Private, Some-college, Never-married, Tech-support, Otro-familiar, Blanco, Hombre,0,0,40, United-States, <=50K
31, Private, HS-grad, Never-married, Transport-moving, Soltero-a, Negro, Mujer,0,0,30, United-States, <=50K
22, Private, Some-college, Married-civ-spouse, Other-service, Marido, Blanco, Hombre,0,0,24, United-States, <=50K
36, Private, HS-grad, Widowed, Other-service, Soltero-a, Blanco, Mujer,0,0,24, United-States, <=50K
64, Private, 11th, Married-civ-spouse, Craft-repair, Marido, Blanco, Hombre,0,2179,40, United-States, <=50K
43, ?, Some-college, Divorced, ?, No-en-familia, Blanco, Mujer,0,0,40, United-States, <=50K
47, Local-gov, Some-college, Divorced, Adm-clerical, Soltero-a, Blanco, Mujer,0,0,38, Mexico, <=50K
34, Private, HS-grad, Never-married, Adm-clerical, No-en-familia, Blanco, Mujer,0,0,40, United-States, <=50K
33, Private, Bachelors, Never-married, Exec-managerial, Otro-familiar, Asiatico-Pacifico-Isleno, Mujer,0,0,40, Philippines, <=50K
21, Private, HS-grad, Never-married, Craft-repair, Hijo-unico, Blanco, Hombre,0,0,35, United-States, <=50K
52, ?, HS-grad, Divorced, ?, No-en-familia, Blanco, Hombre,0,0,45, United-States, >50K
48, Private, HS-grad, Married-civ-spouse, Craft-repair, Marido, Blanco, Hombre,0,0,46, United-States, <=50K
23, Private, Bachelors, Never-married, Handlers-cleaners, No-en-familia, Blanco, Hombre,0,0,40, United-States, <=50K
71, Self-emp-not-inc, Some-college, Separated, Sales, Soltero-a, Negro, Hombre,0,1816,2, United-States, <=50K
29, Private, HS-grad, Divorced, Craft-repair, No-en-familia, Blanco, Hombre,0,0,60, United-States, <=50K
42, Private, Bachelors, Separated, Other-service, Otro-familiar, Negro, Hombre,0,0,50, United-States, <=50K
68, ?, 1st-4th, Divorced, ?, No-en-familia, Blanco, Mujer,0,0,20, United-States, <=50K
25, Private, HS-grad, Never-married, Other-service, Soltero-a, Blanco, Mujer,0,0,40, United-States, <=50K
44, Self-emp-inc, Masters, Divorced, Exec-managerial, Soltero-a, Asiatico-Pacifico-Isleno, Mujer,0,0,40, United-States, <=50K
28, Private, HS-grad, Never-married, Exec-managerial, No-en-familia, Asiatico-Pacifico-Isleno, Mujer,0,0,40, England, <=50K
45, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Marido, Blanco, Hombre,0,0,40, United-States, >50K
36, Private, Some-college, Divorced, Other-service, Soltero-a, Blanco, Mujer,0,0,40, Mexico, <=50K
39, Federal-gov, Assoc-acdm, Never-married, Exec-managerial, No-en-familia, Blanco, Hombre,0,0,42, United-States, <=50K
46, State-gov, Masters, Widowed, Protective-serv, Soltero-a, Blanco, Hombre,0,0,40, United-States, <=50K
18, Private, 11th, Never-married, Handlers-cleaners, Hijo-unico, Blanco, Hombre,0,0,16, United-States, <=50K
66, Local-gov, Assoc-voc, Widowed, Prof-specialty, No-en-familia, Blanco, Mujer,0,0,20, United-States, <=50K
27, Private, HS-grad, Never-married, Other-service, No-en-familia, Blanco, Hombre,0,1980,40, United-States, <=50K
28, State-gov, HS-grad, Married-civ-spouse, Protective-serv, Marido, Blanco, Hombre,0,0,40, United-States, <=50K
51, Private, Some-college, Married-civ-spouse, Sales, Marido, Blanco, Hombre,0,1977,40, United-States, >50K
27, Private, Bachelors, Never-married, Craft-repair, No-en-familia, Blanco, Hombre,0,0,50, United-States, <=50K
28, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Marido, Blanco, Hombre,0,0,40, United-States, >50K
27, Private, HS-grad, Married-spouse-absent, Sales, Soltero-a, Blanco, Mujer,0,0,25, United-States, <=50K
21, Private, HS-grad, Never-married, Craft-repair, Hijo-unico, Negro, Hombre,0,0,40, United-States, <=50K
34, Private, HS-grad, Never-married, Handlers-cleaners, No-en-familia, Negro, Hombre,0,0,40, United-States, <=50K
18, Private, HS-grad, Never-married, Other-service, Hijo-unico, Blanco, Hombre,0,0,12, United-States, <=50K
33, Private, Bachelors, Married-civ-spouse, Prof-specialty, Marido, Blanco, Hombre,0,0,65, United-States, <=50K
44, Local-gov, Some-college, Married-civ-spouse, Exec-managerial, Marido, Negro, Hombre,0,0,38, United-States, >50K
43, Private, Some-college, Divorced, Adm-clerical, No-en-familia, Blanco, Mujer,0,0,40, United-States, <=50K
30, Private, Some-college, Never-married, Craft-repair, No-en-familia, Negro, Hombre,0,0,45, United-States, <=50K
40, Private, 7th-8th, Married-civ-spouse, Machine-op-inspct, Marido, Blanco, Hombre,0,0,40, Mexico, >50K
37, Federal-gov, Some-college, Married-civ-spouse, Adm-clerical, Marido, Blanco, Hombre,0,0,42, United-States, >50K
34, Private, HS-grad, Married-civ-spouse, Adm-clerical, Marido, Negro, Hombre,0,0,40, United-States, <=50K
41, Self-emp-not-inc, Bachelors, Divorced, Exec-managerial, No-en-familia, Blanco, Mujer,0,0,40, United-States, <=50K
53, ?, Bachelors, Divorced, ?, No-en-familia, Blanco, Mujer,0,0,50, United-States, <=50K
31, Private, Masters, Married-civ-spouse, Prof-specialty, Mujer, Blanco, Mujer,0,0,50, United-States, <=50K
58, State-gov, Doctorate, Married-civ-spouse, Prof-specialty, Marido, Blanco, Hombre,0,0,1, United-States, >50K
38, Private, Some-college, Divorced, Machine-op-inspct, No-en-familia, Negro, Mujer,0,0,28, United-States, <=50K
24, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Marido, Blanco, Hombre,0,0,40, United-States, <=50K
41, Local-gov, Bachelors, Married-civ-spouse, Craft-repair, Marido, Negro, Hombre,0,0,40, United-States, <=50K
47, Private, Some-college, Married-civ-spouse, Tech-support, Marido, Blanco, Hombre,0,0,45, United-States, <=50K
41, Federal-gov, Bachelors, Married-civ-spouse, Tech-support, Marido, Blanco, Hombre,0,0,24, United-States, <=50K
23, Private, 5th-6th, Married-civ-spouse, Transport-moving, Otro-familiar, Blanco, Hombre,0,0,40, Mexico, <=50K
36, Private, Some-college, Divorced, Craft-repair, No-en-familia, Blanco, Hombre,0,0,40, United-States, <=50K
40, Federal-gov, Masters, Never-married, Exec-managerial, No-en-familia, Blanco, Mujer,14084,0,55, United-States, >50K
35, Private, Masters, Married-civ-spouse, Prof-specialty, Otro-familiar, Blanco, Hombre,7298,0,40, United-States, >50K
24, Self-emp-not-inc, HS-grad, Never-married, Sales, No-en-familia, Blanco, Hombre,0,0,40, United-States, <=50K
26, Private, Masters, Never-married, Prof-specialty, No-en-familia, Blanco, Mujer,0,1876,40, United-States, <=50K
19, ?, HS-grad, Never-married, ?, Hijo-unico, Blanco, Hombre,0,0,40, Italy, <=50K
51, Private, Bachelors, Married-civ-spouse, Exec-managerial, Marido, Blanco, Hombre,0,0,50, United-States, >50K
42, Local-gov, Some-college, Never-married, Prof-specialty, No-en-familia, Blanco, Mujer,0,1340,40, United-States, <=50K
37, State-gov, HS-grad, Divorced, Adm-clerical, Soltero-a, Blanco, Mujer,0,0,35, United-States, <=50K
18, Private, 11th, Never-married, Sales, Hijo-unico, Blanco, Mujer,0,0,40, United-States, <=50K
36, Private, Bachelors, Married-civ-spouse, Other-service, Marido, Negro, Hombre,7298,0,36, United-States, >50K
35, Private, HS-grad, Divorced, Craft-repair, No-en-familia, Blanco, Hombre,0,0,60, United-States, <=50K
58, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Mujer, Blanco, Mujer,15024,0,35, United-States, >50K
17, Private, 11th, Never-married, Sales, Hijo-unico, Blanco, Mujer,0,0,12, United-States, <=50K
44, Local-gov, HS-grad, Married-civ-spouse, Transport-moving, Marido, Negro, Hombre,0,0,40, United-States, <=50K
37, Private, HS-grad, Married-civ-spouse, Craft-repair, Marido, Blanco, Hombre,0,0,40, United-States, >50K
35, Private, Some-college, Never-married, Sales, No-en-familia, Amerindio-esquimal, Mujer,0,0,40, United-States, <=50K
60, Private, HS-grad, Married-civ-spouse, Craft-repair, Marido, Asiatico-Pacifico-Isleno, Hombre,0,0,40, United-States, <=50K
54, Self-emp-inc, 7th-8th, Married-civ-spouse, Machine-op-inspct, Marido, Blanco, Hombre,0,0,40, United-States, >50K
37, Private, Bachelors, Never-married, Exec-managerial, No-en-familia, Negro, Hombre,0,0,60, United-States, >50K
50, Private, Assoc-acdm, Divorced, Sales, No-en-familia, Blanco, Mujer,0,0,40, United-States, <=50K
38, Private, Bachelors, Married-civ-spouse, Sales, Marido, Blanco, Hombre,0,0,50, Poland, <=50K
45, Private, Bachelors, Married-civ-spouse, Prof-specialty, Marido, Blanco, Hombre,0,0,55, United-States, <=50K
25, Private, 10th, Never-married, Craft-repair, No-en-familia, Blanco, Hombre,0,0,40, United-States, <=50K
31, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Marido, Blanco, Hombre,0,0,40, United-States, <=50K
64, ?, 1st-4th, Divorced, ?, No-en-familia, Blanco, Hombre,0,0,40, United-States, <=50K
90, Private, HS-grad, Never-married, Other-service, No-en-familia, Negro, Hombre,0,2206,40, United-States, <=50K
54, Private, HS-grad, Married-civ-spouse, Adm-clerical, Marido, Negro, Hombre,0,0,20, United-States, <=50K
53, Local-gov, Preschool, Never-married, Machine-op-inspct, No-en-familia, Blanco, Mujer,0,0,35, United-States, <=50K
18, Private, HS-grad, Never-married, Sales, Hijo-unico, Blanco, Mujer,0,0,40, United-States, <=50K
60, ?, 10th, Divorced, ?, No-en-familia, Amerindio-esquimal, Mujer,0,0,10, United-States, <=50K
66, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Marido, Blanco, Hombre,1409,0,50, United-States, <=50K
75, Private, Assoc-voc, Widowed, Adm-clerical, No-en-familia, Blanco, Mujer,0,0,20, Columbia, <=50K
65, Private, HS-grad, Divorced, Adm-clerical, No-en-familia, Blanco, Mujer,0,0,40, United-States, <=50K
35, Private, 11th, Separated, Transport-moving, No-en-familia, Negro, Hombre,3674,0,40, United-States, <=50K
41, Private, HS-grad, Divorced, Sales, Soltero-a, Negro, Mujer,0,0,38, United-States, <=50K
25, Private, Some-college, Never-married, Adm-clerical, No-en-familia, Blanco, Hombre,0,0,42, United-States, <=50K
33, Private, Some-college, Divorced, Craft-repair, Otro-familiar, Otro, Mujer,0,0,40, United-States, <=50K
28, Private, Prof-school, Never-married, Prof-specialty, No-en-familia, Blanco, Hombre,0,0,55, United-States, >50K
59, State-gov, HS-grad, Married-civ-spouse, Other-service, Marido, Blanco, Hombre,0,0,40, United-States, <=50K
40, State-gov, Some-college, Never-married, Adm-clerical, No-en-familia, Blanco, Mujer,0,0,38, United-States, <=50K
41, Private, Bachelors, Married-civ-spouse, Exec-managerial, Marido, Blanco, Hombre,0,0,50, Iran, >50K
38, Local-gov, Masters, Married-civ-spouse, Exec-managerial, Marido, Blanco, Hombre,0,0,70, United-States, >50K
23, Private, HS-grad, Never-married, Transport-moving, Hijo-unico, Blanco, Hombre,0,0,40, United-States, <=50K
40, Private, Bachelors, Married-civ-spouse, Prof-specialty, Marido, Blanco, Hombre,0,0,40, United-States, >50K
